Repository,Repository_owner,Repository_fullname,Is_fork,Parent,Stars,Watchers,Forks,Description,Language,Languages,Topic,Contributors,Open_issues,Open_pull_requests,License,Created,Last_update
ohmyzsh,ohmyzsh,ohmyzsh/ohmyzsh,False,,157607,2658,25144,"🙃   A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",Shell,"['Shell', 'Python', 'Makefile']","['cli', 'cli-app', 'hacktoberfest', 'oh-my-zsh', 'oh-my-zsh-plugin', 'oh-my-zsh-theme', 'ohmyzsh', 'plugin-framework', 'plugins', 'productivity', 'shell', 'terminal', 'theme', 'themes', 'zsh', 'zsh-configuration']",391,613,410,LICENSE.txt,2009-08-28 18:15:37,2023-04-13 11:58:45
Python,TheAlgorithms,TheAlgorithms/Python,False,,157183,5933,39661,All Algorithms implemented in Python,Python,['Python'],"['algorithm', 'algorithm-competitions', 'algorithms-implemented', 'algos', 'community-driven', 'education', 'hacktoberfest', 'interview', 'learn', 'practice', 'python', 'searches', 'sorting-algorithms', 'sorts']",459,151,131,LICENSE.md,2016-07-16 09:44:01,2023-04-13 12:00:41
flutter,flutter,flutter/flutter,False,,152160,3556,25097,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,"['Dart', 'C++', 'Objective-C', 'Java', 'CMake', 'Shell', 'Ruby', 'HTML', 'JavaScript', 'Swift', 'Batchfile', 'Kotlin', 'C', 'CSS', 'Dockerfile', 'PowerShell', 'GLSL']","['android', 'app-framework', 'cross-platform', 'dart', 'dart-platform', 'desktop', 'flutter', 'flutter-package', 'fuchsia', 'ios', 'linux-desktop', 'macos', 'material-design', 'mobile', 'mobile-development', 'skia', 'web', 'web-framework', 'windows']",386,11506,177,LICENSE,2015-03-06 22:54:58,2023-04-13 11:30:01
gitignore,github,github/gitignore,False,,146805,3352,83747,A collection of useful .gitignore templates,,[],"['git', 'gitignore']",419,404,399,LICENSE,2010-11-08 20:17:14,2023-04-13 11:53:04
vscode,microsoft,microsoft/vscode,False,,144930,3218,25341,Visual Studio Code,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'HTML', 'Rust', 'Inno Setup', 'Shell', 'Scilab', 'Batchfile', 'PowerShell', 'SCSS', 'Groovy', 'Cuda', 'C++', 'Makefile', 'Python', 'Perl', 'Ruby', 'TeX', 'Objective-C', 'Objective-C++', 'Clojure', 'Handlebars', 'Less', 'PHP', 'Julia', 'Jupyter Notebook', 'Visual Basic .NET', 'Dockerfile', 'C', 'C#', 'Pug', 'Go', 'F#', 'Java', 'CoffeeScript', 'R', 'Roff', 'ShaderLab', 'Dart', 'Swift', 'Lua', 'HLSL', 'Hack']","['editor', 'electron', 'hacktoberfest', 'microsoft', 'typescript', 'visual-studio-code']",345,6737,367,LICENSE.txt,2015-09-03 20:23:38,2023-04-13 11:43:45
computer-science,ossu,ossu/computer-science,False,,137768,5461,17829,:mortar_board: Path to a free self-taught education in Computer Science!,,[],"['awesome-list', 'computer-science', 'courses', 'curriculum']",129,16,0,LICENSE,2014-05-04 00:18:39,2023-04-13 12:01:16
javascript,airbnb,airbnb/javascript,False,,133140,3825,25244,JavaScript Style Guide,JavaScript,['JavaScript'],"['arrow-functions', 'es2015', 'es2016', 'es2017', 'es2018', 'es6', 'eslint', 'javascript', 'linting', 'naming-conventions', 'style-guide', 'style-linter', 'styleguide', 'tc39']",408,161,65,LICENSE.md,2012-11-01 23:13:50,2023-04-13 11:59:25
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,False,,127346,2005,7391,A list of Free Software network services and web applications which can be hosted on your own servers,Makefile,['Makefile'],"['awesome', 'awesome-list', 'cloud', 'hosting', 'privacy', 'self-hosted', 'selfhosted']",411,76,25,LICENSE,2015-06-01 02:33:17,2023-04-13 11:06:27
youtube-dl,ytdl-org,ytdl-org/youtube-dl,False,,119490,2202,8883,Command-line program to download videos from YouTube.com and other video sites,Python,"['Python', 'Shell', 'Makefile', 'ActionScript', 'Batchfile']",[],390,4735,910,LICENSE,2010-10-31 14:35:07,2023-04-13 11:51:38
30-seconds-of-code,30-seconds,30-seconds/30-seconds-of-code,False,,110396,2651,11396,Short JavaScript code snippets for all your development needs,JavaScript,['JavaScript'],"['awesome-list', 'education', 'es6-javascript', 'javascript', 'learn-to-code', 'learning-resources', 'nodejs', 'programming', 'snippets', 'snippets-collection']",251,0,0,LICENSE,2017-11-29 17:35:03,2023-04-13 12:00:26
